image,name,price,info
E:\PYTHON\Baldevdas Seeds\Img\NPK.jpg,NPK,142,good 
E:\PYTHON\Baldevdas Seeds\Img\Urea.jpg,Urea,60,good 
E:\PYTHON\Baldevdas Seeds\Img\Hyzinc.jpg,Hyzinc ,90,good 
E:\PYTHON\Baldevdas Seeds\Img\NPK.jpg,NPK,142,good 
E:\PYTHON\Baldevdas Seeds\Img\Urea.jpg,Urea,60,good 
E:\PYTHON\Baldevdas Seeds\Img\Hyzinc.jpg,Hyzinc ,90,good 
E:\PYTHON\Baldevdas Seeds\Img\NPK.jpg,NPK,142,good 
E:\PYTHON\Baldevdas Seeds\Img\Urea.jpg,Urea,60,good 
E:\PYTHON\Baldevdas Seeds\Img\Hyzinc.jpg,Hyzinc ,90,good 
E:\PYTHON\Baldevdas Seeds\Img\NPK.jpg,NPK,142,good 
E:\PYTHON\Baldevdas Seeds\Img\Urea.jpg,Urea,60,good 
E:\PYTHON\Baldevdas Seeds\Img\Hyzinc.jpg,Hyzinc ,90,good 
E:\PYTHON\Baldevdas Seeds\Img\NPK.jpg,NPK,142,good 
E:\PYTHON\Baldevdas Seeds\Img\Urea.jpg,Urea,60,good 
E:\PYTHON\Baldevdas Seeds\Img\Hyzinc.jpg,Hyzinc ,90,good 
